ho,dl,err,gt,got
mediation,P(Y=1 | X=0),1.8041124150158794e-16,0.1016290405159144,0.10162904051591422
mediation,P(X=1),3.3306690738754696e-16,0.7694056849225348,0.7694056849225351
mediation,P(V2=1),5.551115123125783e-17,0.4941752932173924,0.49417529321739245
mediation,P(Y=1),0.0021112696758751603,0.5521667472676379,0.5542780169435131
mediation,ATE(Y | X),1.1102230246251565e-16,0.5883098933343234,0.5883098933343235
mediation,ETT(Y | X),1.1102230246251565e-16,0.5883098933343234,0.5883098933343235
mediation,NDE(Y | X),1.1102230246251565e-16,0.4183595350642898,0.4183595350642897
mediation,NIE(Y | X),0.0,0.15805055661009879,0.15805055661009879
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.5975013977212474,0.5975013977212476
mediation,P(Y=1 | X=0),0.0,0.3790767815057974,0.3790767815057974
mediation,P(X=1),3.3306690738754696e-16,0.7015159816298336,0.701515981629834
mediation,P(V2=1),3.3306690738754696e-16,0.6140178134139428,0.6140178134139431
mediation,P(Y=1),0.0017159503498287432,0.53058919021247,0.5323051405622987
mediation,ATE(Y | X),1.1102230246251565e-16,0.21842461621545006,0.21842461621545017
mediation,ETT(Y | X),1.1102230246251565e-16,0.21842461621545006,0.21842461621545017
mediation,NDE(Y | X),4.440892098500626e-16,0.3312555390858899,0.33125553908589034
mediation,NIE(Y | X),5.551115123125783e-17,-0.12102586829015505,-0.1210258682901551
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.8012426452689548,0.801242645268955
mediation,P(Y=1 | X=0),1.6653345369377348e-16,0.40082923830055145,0.4008292383005516
mediation,P(X=1),2.220446049250313e-16,0.7741871405420618,0.7741871405420621
mediation,P(V2=1),1.1102230246251565e-16,0.789839642330402,0.7898396423304022
mediation,P(Y=1),0.00012866291363577975,0.710695485962489,0.7108241488761248
mediation,ATE(Y | X),0.0,0.4004134069684034,0.4004134069684034
mediation,ETT(Y | X),0.0,0.4004134069684034,0.4004134069684034
mediation,NDE(Y | X),3.3306690738754696e-16,0.4166959694238996,0.4166959694238999
mediation,NIE(Y | X),0.0,-0.017018530162152434,-0.017018530162152434
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.5249386057092049,0.5249386057092048
mediation,P(Y=1 | X=0),5.551115123125783e-17,0.43539811700148956,0.4353981170014895
mediation,P(X=1),1.1102230246251565e-16,0.6110405707894419,0.611040570789442
mediation,P(V2=1),1.1102230246251565e-16,0.5061792091860361,0.506179209186036
mediation,P(Y=1),0.006146570965183673,0.49625755929540116,0.4901109883302175
mediation,ATE(Y | X),0.0,0.08954048870771536,0.08954048870771536
